x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-12--16:51:24,NaN,11.5,10.9,9.3,3.2,0.1
2019-01-12--16:55:00,NaN,11.5,10.9,9.3,3.2,0.1
2019-01-12--16:58:36,NaN,11.5,10.9,9.3,3.2,0.1
2019-01-12--17:02:12,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:05:48,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:09:24,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:13:00,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:16:36,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:20:12,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:23:48,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:27:24,NaN,11.6,10.9,9.4,3.3,0.1
2019-01-12--17:31:00,NaN,11.6,11.0,9.5,3.3,0.1
2019-01-12--17:34:36,NaN,11.6,11.0,9.5,3.3,0.1
2019-01-12--17:38:12,NaN,11.6,11.0,9.5,3.3,0.1
2019-01-12--17:41:48,NaN,11.6,11.0,9.5,3.3,0.1
2019-01-12--17:45:24,NaN,11.6,11.0,9.5,3.4,0.1
2019-01-12--17:49:00,NaN,11.6,11.0,9.5,3.4,0.1
2019-01-12--17:52:36,NaN,11.6,11.0,9.5,3.4,0.1
2019-01-12--17:56:12,NaN,11.6,11.0,9.5,3.4,0.1
2019-01-12--17:59:48,NaN,11.6,11.0,9.5,3.4,0.1
2019-01-12--18:03:24,NaN,11.7,11.1,9.5,3.4,0.1
2019-01-12--18:07:00,NaN,11.7,11.1,9.5,3.4,0.1
2019-01-12--18:10:36,NaN,11.7,11.1,9.5,3.4,0.1
2019-01-12--18:14:12,NaN,11.7,11.1,9.5,3.4,0.1
2019-01-12--18:17:48,NaN,11.7,11.1,9.6,3.4,0.1
2019-01-12--18:21:24,NaN,11.7,11.1,9.6,3.4,0.1
2019-01-12--18:25:00,NaN,11.7,11.1,9.6,3.4,0.1
2019-01-12--18:28:36,NaN,11.7,11.1,9.6,3.4,0.1
2019-01-12--18:32:12,NaN,11.7,11.1,9.6,3.5,0.1
2019-01-12--18:35:48,NaN,11.7,11.1,9.6,3.5,0.1
2019-01-12--18:39:24,NaN,11.7,11.1,9.6,3.5,0.1
2019-01-12--18:43:00,NaN,11.7,11.1,9.6,3.5,0.1
2019-01-12--18:46:36,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--18:50:12,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--18:53:48,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--18:57:24,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:01:00,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:04:36,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:08:12,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:11:48,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:15:24,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:19:00,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:22:36,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:26:12,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:29:48,NaN,11.8,11.2,9.7,3.5,0.1
2019-01-12--19:33:24,NaN,11.8,11.2,9.8,3.6,0.1
2019-01-12--19:37:00,NaN,11.8,11.2,9.8,3.6,0.1
2019-01-12--19:40:36,NaN,11.8,11.2,9.8,3.6,0.1
2019-01-12--19:44:12,NaN,11.8,11.2,9.8,3.6,0.1
2019-01-12--19:47:48,NaN,11.8,11.3,9.8,3.6,0.1
2019-01-12--19:51:24,NaN,11.8,11.3,9.8,3.6,0.1
2019-01-12--19:55:00,NaN,11.8,11.3,9.8,3.6,0.1
2019-01-12--19:58:36,NaN,11.8,11.3,9.8,3.6,0.1
2019-01-12--20:02:12,NaN,11.9,11.3,9.8,3.6,0.1
2019-01-12--20:05:48,NaN,11.9,11.3,9.8,3.6,0.1
2019-01-12--20:09:24,NaN,11.9,11.3,9.8,3.6,0.1
2019-01-12--20:13:00,NaN,11.9,11.3,9.8,3.6,0.1
2019-01-12--20:16:36,NaN,11.9,11.3,9.9,3.6,0.1
2019-01-12--20:20:12,NaN,11.9,11.3,9.9,3.6,0.1
2019-01-12--20:23:48,NaN,11.9,11.3,9.9,3.6,0.1
2019-01-12--20:27:24,NaN,11.9,11.3,9.9,3.6,0.1
2019-01-12--20:31:00,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:34:36,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:38:12,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:41:48,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:45:24,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:49:00,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:52:36,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:56:12,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--20:59:48,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--21:03:24,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--21:07:00,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--21:10:36,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--21:14:12,NaN,11.9,11.3,9.9,3.7,0.1
2019-01-12--21:17:48,NaN,11.9,11.4,10.0,3.7,0.2
2019-01-12--21:21:24,NaN,11.9,11.4,10.0,3.7,0.2
2019-01-12--21:25:00,NaN,11.9,11.4,10.0,3.7,0.2
2019-01-12--21:28:36,NaN,11.9,11.4,10.0,3.7,0.2
2019-01-12--21:32:12,NaN,12.0,11.4,10.0,3.7,0.2
2019-01-12--21:35:48,NaN,12.0,11.4,10.0,3.7,0.2
2019-01-12--21:39:24,NaN,12.0,11.4,10.0,3.7,0.2
2019-01-12--21:43:00,NaN,12.0,11.4,10.0,3.7,0.2
2019-01-12--21:46:36,NaN,12.0,11.5,10.0,3.8,0.2
2019-01-12--21:50:12,NaN,12.0,11.5,10.0,3.8,0.2
2019-01-12--21:53:48,NaN,12.0,11.5,10.0,3.8,0.2
2019-01-12--21:57:24,NaN,12.0,11.5,10.0,3.8,0.2
2019-01-12--22:01:00,NaN,12.1,11.5,10.0,3.8,0.2
2019-01-12--22:04:36,NaN,12.1,11.5,10.0,3.8,0.2
2019-01-12--22:08:12,NaN,12.1,11.5,10.0,3.8,0.2
2019-01-12--22:11:48,NaN,12.1,11.5,10.0,3.8,0.2
2019-01-12--22:15:24,NaN,12.1,11.5,10.1,3.8,0.2
2019-01-12--22:19:00,NaN,12.1,11.5,10.1,3.8,0.2
2019-01-12--22:22:36,NaN,12.1,11.5,10.1,3.8,0.2
2019-01-12--22:26:12,NaN,12.1,11.5,10.1,3.8,0.2
2019-01-12--22:29:48,NaN,12.1,11.5,10.1,3.8,0.2
2019-01-12--22:33:24,NaN,12.2,11.6,10.1,3.8,0.3
2019-01-12--22:37:00,NaN,12.2,11.6,10.1,3.8,0.3
2019-01-12--22:40:36,NaN,12.2,11.6,10.1,3.8,0.3
2019-01-12--22:44:12,NaN,12.2,11.6,10.1,3.8,0.3
2019-01-12--22:47:48,NaN,12.2,11.6,10.2,3.9,0.3
2019-01-12--22:51:24,NaN,12.2,11.6,10.2,3.9,0.3
2019-01-12--22:55:00,NaN,12.2,11.6,10.2,3.9,0.3
