x,112,116,120,124,128,132,APAR_111.1,APAR_112.2,APAR_113.3,APAR_114.4,APAR_115.5,APAR_116.6,APAR_117.7,APAR_118.8,APAR_119.9,APAR_120.10,APAR_121.11,APAR_122.12,APAR_123.13,APAR_124.14,APAR_125.15,APAR_126.16,APAR_127.17,APAR_128.18,APAR_129.19,FIF_104.4,FIF_105.5,FIF_106.6,APAR_19.19,APAR_20.20
2019-01-12--03:32:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.3,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,26.000000,26.000000,24.000000,54.9,82.3
2019-01-12--03:35:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.3,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,26.000000,26.000000,24.000000,54.9,82.3
2019-01-12--03:39:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.3,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,26.000000,26.000000,24.000000,54.9,82.3
2019-01-12--03:43:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.3,60.8,91.6,42.6,43.0,46.3,62.1,35.0,38.3,38.4,49.2,41.2,51.4,63.0,40.3,56.8,70.3,26.000000,26.000000,24.000000,54.9,82.3
2019-01-12--03:46:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,60.9,91.6,42.6,43.0,46.4,62.1,35.0,38.0,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,55.0,82.4
2019-01-12--03:50:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,60.9,91.6,42.6,43.0,46.4,62.1,35.0,38.0,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,55.0,82.4
2019-01-12--03:53:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,60.9,91.6,42.6,43.0,46.4,62.1,35.0,38.0,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,55.0,82.4
2019-01-12--03:57:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,60.9,91.6,42.6,43.0,46.4,62.1,35.0,38.0,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,26.000000,26.000000,24.000000,55.0,82.4
2019-01-12--04:01:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,61.0,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.0,82.4
2019-01-12--04:04:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,61.0,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.0,82.4
2019-01-12--04:08:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,61.0,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.0,82.4
2019-01-12--04:11:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.4,61.0,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.0,82.4
2019-01-12--04:15:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.1,82.4
2019-01-12--04:19:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.1,82.4
2019-01-12--04:22:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.1,82.4
2019-01-12--04:26:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.1,82.4
2019-01-12--04:29:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,25.000000,26.000000,24.000000,55.1,82.4
2019-01-12--04:33:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,24.000000,26.000000,24.000000,55.6,82.5
2019-01-12--04:37:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,24.000000,26.000000,24.000000,55.6,82.5
2019-01-12--04:40:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,24.000000,26.000000,24.000000,55.6,82.5
2019-01-12--04:44:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.6,42.6,43.1,46.4,62.0,35.0,38.1,38.5,49.2,41.2,51.3,63.0,40.4,56.8,70.3,24.000000,26.000000,24.000000,55.6,82.5
2019-01-12--04:47:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.5,42.6,43.1,46.4,62.0,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,25.000000,26.000000,23.000000,56.0,82.5
2019-01-12--04:51:24,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.5,42.6,43.1,46.4,62.0,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,25.000000,26.000000,23.000000,56.0,82.5
2019-01-12--04:55:00,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.5,42.6,43.1,46.4,62.0,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,25.000000,26.000000,23.000000,56.0,82.5
2019-01-12--04:58:36,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.5,61.1,91.5,42.6,43.1,46.4,62.0,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,25.000000,26.000000,23.000000,56.0,82.5
2019-01-12--05:02:12,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.3,82.6
2019-01-12--05:05:48,NaN,NaN,NaN,NaN,NaN,NaN,35.7,36.0,34.6,61.1,91.4,42.6,43.1,46.5,61.9,35.1,38.1,38.6,49.2,41.2,51.2,63.0,40.5,56.8,70.3,24.000000,26.000000,23.000000,56.3,82.6
