x,216,220,224,228,232,236,240,244,248,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--03:25:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.1
2019-01-12--03:28:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,27.9,40.4,53.8,25.1,27.6,30.9,41.4,54.0,30.0,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.1
2019-01-12--03:32:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,29.9,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.2
2019-01-12--03:35:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,29.9,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.2
2019-01-12--03:39:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,29.9,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.2
2019-01-12--03:43:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,29.9,32.5,43.6,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.5,100.0,37.2
2019-01-12--03:46:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,46.0,100.0,37.3
2019-01-12--03:50:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,46.0,100.0,37.3
2019-01-12--03:53:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,46.0,100.0,37.3
2019-01-12--03:57:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.4,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.8,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,46.0,100.0,37.3
2019-01-12--04:01:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.4,100.0,37.5
2019-01-12--04:04:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.4,100.0,37.5
2019-01-12--04:08:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.4,100.0,37.5
2019-01-12--04:11:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.4,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.6,27.000000,28.000000,23.000000,27.000000,24.000000,45.4,100.0,37.5
2019-01-12--04:15:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.5,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.6
2019-01-12--04:19:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.5,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.6
2019-01-12--04:22:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.5,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.6
2019-01-12--04:26:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.5,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.6
2019-01-12--04:29:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.7,25.1,27.6,31.0,41.5,54.0,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.6
2019-01-12--04:33:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.6,25.1,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.7
2019-01-12--04:37:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.9,27.2,28.0,40.5,53.6,25.1,27.6,31.1,41.5,53.9,30.0,32.4,43.5,33.4,45.0,53.7,27.9,38.5,55.7,27.000000,28.000000,23.000000,27.000000,24.000000,45.3,100.0,37.7
