x,217,221,225,229,233,237,241,245,249,APAR_213.1,APAR_214.2,APAR_215.3,APAR_216.4,APAR_217.5,APAR_218.6,APAR_219.7,APAR_220.8,APAR_221.9,APAR_222.10,APAR_223.11,APAR_224.12,APAR_225.13,APAR_226.14,APAR_227.15,APAR_228.16,APAR_229.17,APAR_230.18,APAR_231.19,FIF_203.3,FIF_204.4,FIF_205.5,FIF_206.6,FIF_207.7,APAR_16.16,APAR_17.17,APAR_18.18
2019-01-12--02:27:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.5,6.7,18.4,17.4,15.1,10.3,5.2,29.1,24.4,20.7,26.7,21.3,17.6,26.1,18.6,10.1,22.7,25.9,24.2,24.4,23.3,8.1,10.9,13.8
2019-01-12--02:31:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.7,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.1,10.9,13.8
2019-01-12--02:34:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.7,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.1,10.9,13.8
2019-01-12--02:38:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.7,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.1,10.9,13.8
2019-01-12--02:41:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.7,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.1,10.9,13.8
2019-01-12--02:45:24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.8,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.1,10.9,13.8
2019-01-12--02:49:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.8,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.2,10.9,13.8
2019-01-12--02:52:36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.8,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.2,10.9,13.8
2019-01-12--02:56:12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.8,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.2,10.9,13.8
2019-01-12--02:59:48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.3,18.8,17.5,11.6,6.8,18.5,17.4,15.2,10.3,5.3,29.0,24.5,20.7,26.7,21.3,17.7,26.1,18.6,10.1,22.7,25.9,24.2,24.5,23.4,8.2,10.9,13.8
