x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-12--05:34:36,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:38:12,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:41:48,20.5,20.3,13.5,8.0,3.3,19.9,19.6,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:45:24,20.6,20.3,13.6,8.1,3.4,19.9,19.7,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:49:00,20.6,20.3,13.6,8.1,3.4,19.9,19.7,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:52:36,20.6,20.3,13.6,8.1,3.4,19.9,19.7,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:56:12,20.6,20.3,13.6,8.1,3.4,19.9,19.7,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--05:59:48,20.6,20.3,13.6,8.1,3.4,19.9,19.7,17.2,14.5,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--06:03:24,20.6,20.4,13.6,8.1,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--06:07:00,20.6,20.4,13.6,8.1,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--06:10:36,20.6,20.4,13.6,8.1,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--06:14:12,20.6,20.4,13.6,8.1,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.2
2019-01-12--06:17:48,20.6,20.4,13.7,8.2,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.3
2019-01-12--06:21:24,20.6,20.4,13.7,8.2,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.3
2019-01-12--06:25:00,20.6,20.4,13.7,8.2,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.3
2019-01-12--06:28:36,20.6,20.4,13.7,8.2,3.4,19.9,19.7,17.2,14.6,21.7,21.4,18.4,15.4,26.2,24.9,26.3
2019-01-12--06:32:12,20.6,20.4,13.7,8.2,3.4,20.0,19.7,17.3,14.6,21.7,21.4,18.4,15.4,26.3,24.9,26.3
2019-01-12--06:35:48,20.6,20.4,13.7,8.2,3.4,20.0,19.7,17.3,14.6,21.7,21.4,18.4,15.4,26.3,24.9,26.3
2019-01-12--06:39:24,20.6,20.4,13.7,8.2,3.4,20.0,19.7,17.3,14.6,21.7,21.4,18.4,15.4,26.3,24.9,26.3
2019-01-12--06:43:00,20.6,20.4,13.7,8.2,3.4,20.0,19.7,17.3,14.6,21.7,21.4,18.4,15.4,26.3,24.9,26.3
2019-01-12--06:46:36,20.7,20.4,13.8,8.3,3.4,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.3,25.0,26.3
2019-01-12--06:50:12,20.7,20.4,13.8,8.3,3.4,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.3,25.0,26.3
2019-01-12--06:53:48,20.7,20.4,13.8,8.3,3.4,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.3,25.0,26.3
2019-01-12--06:57:24,20.7,20.4,13.8,8.3,3.4,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.3,25.0,26.3
2019-01-12--07:01:00,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.2,25.0,26.3
2019-01-12--07:04:36,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.2,25.0,26.3
2019-01-12--07:08:12,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.2,25.0,26.3
2019-01-12--07:11:48,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.6,21.8,21.4,18.4,15.5,26.2,25.0,26.3
2019-01-12--07:15:24,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:19:00,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:22:36,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:26:12,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:29:48,20.7,20.5,13.8,8.3,3.5,20.0,19.7,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:33:24,20.7,20.5,13.9,8.4,3.5,20.0,19.8,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:37:00,20.7,20.5,13.9,8.4,3.5,20.0,19.8,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:40:36,20.7,20.5,13.9,8.4,3.5,20.0,19.8,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:44:12,20.7,20.5,13.9,8.4,3.5,20.0,19.8,17.3,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.4
2019-01-12--07:47:48,20.8,20.6,13.9,8.4,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.5
2019-01-12--07:51:24,20.8,20.6,13.9,8.4,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.5
2019-01-12--07:55:00,20.8,20.6,13.9,8.4,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.5
2019-01-12--07:58:36,20.8,20.6,13.9,8.4,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.0,26.5
2019-01-12--08:02:12,20.8,20.6,14.0,8.5,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.1,26.5
2019-01-12--08:05:48,20.8,20.6,14.0,8.5,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.1,26.5
2019-01-12--08:09:24,20.8,20.6,14.0,8.5,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.1,26.5
2019-01-12--08:13:00,20.8,20.6,14.0,8.5,3.6,20.1,19.8,17.4,14.7,21.8,21.5,18.5,15.5,26.3,25.1,26.5
2019-01-12--08:16:36,20.8,20.6,14.0,8.5,3.7,20.1,19.8,17.4,14.8,21.9,21.5,18.5,15.6,26.4,25.1,26.5
2019-01-12--08:20:12,20.8,20.6,14.0,8.5,3.7,20.1,19.8,17.4,14.8,21.9,21.5,18.5,15.6,26.4,25.1,26.5
2019-01-12--08:23:48,20.8,20.6,14.0,8.5,3.7,20.1,19.8,17.4,14.8,21.9,21.5,18.5,15.6,26.4,25.1,26.5
2019-01-12--08:27:24,20.8,20.6,14.0,8.5,3.7,20.1,19.8,17.4,14.8,21.9,21.5,18.5,15.6,26.4,25.1,26.5
2019-01-12--08:31:00,20.8,20.6,14.0,8.6,3.8,20.1,19.8,17.4,14.8,21.9,21.6,18.5,15.6,26.4,25.1,26.6
2019-01-12--08:34:36,20.8,20.6,14.0,8.6,3.8,20.1,19.8,17.4,14.8,21.9,21.6,18.5,15.6,26.4,25.1,26.6
2019-01-12--08:38:12,20.8,20.6,14.0,8.6,3.8,20.1,19.8,17.4,14.8,21.9,21.6,18.5,15.6,26.4,25.1,26.6
2019-01-12--08:41:48,20.8,20.6,14.0,8.6,3.8,20.1,19.8,17.4,14.8,21.9,21.6,18.5,15.6,26.4,25.1,26.6
2019-01-12--08:45:24,20.9,20.7,14.1,8.6,3.8,20.1,19.9,17.4,14.8,21.9,21.6,18.6,15.6,26.4,25.1,26.6
2019-01-12--08:49:00,20.9,20.7,14.1,8.6,3.8,20.1,19.9,17.4,14.8,21.9,21.6,18.6,15.6,26.4,25.1,26.7
2019-01-12--08:52:36,20.9,20.7,14.1,8.6,3.8,20.1,19.9,17.4,14.8,21.9,21.6,18.6,15.6,26.4,25.1,26.7
2019-01-12--08:56:12,20.9,20.7,14.1,8.6,3.8,20.1,19.9,17.4,14.8,21.9,21.6,18.6,15.6,26.4,25.1,26.7
2019-01-12--08:59:48,20.9,20.7,14.1,8.6,3.8,20.1,19.9,17.4,14.8,21.9,21.6,18.6,15.6,26.4,25.1,26.7
2019-01-12--09:03:24,20.9,20.7,14.1,8.7,3.9,20.1,19.9,17.5,14.8,22.0,21.6,18.6,15.6,26.5,25.1,26.9
2019-01-12--09:07:00,20.9,20.7,14.1,8.7,3.9,20.1,19.9,17.5,14.8,22.0,21.6,18.6,15.6,26.5,25.1,26.9
2019-01-12--09:10:36,20.9,20.7,14.1,8.7,3.9,20.1,19.9,17.5,14.8,22.0,21.6,18.6,15.6,26.5,25.1,26.9
2019-01-12--09:14:12,20.9,20.7,14.1,8.7,3.9,20.1,19.9,17.5,14.8,22.0,21.6,18.6,15.6,26.5,25.1,26.9
2019-01-12--09:17:48,20.9,20.7,14.2,8.7,4.0,20.2,19.9,17.5,14.9,22.0,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:21:24,20.9,20.7,14.2,8.7,4.0,20.2,19.9,17.5,14.9,22.0,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:25:00,20.9,20.7,14.2,8.7,4.0,20.2,19.9,17.5,14.9,22.0,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:28:36,20.9,20.7,14.2,8.7,4.0,20.2,19.9,17.5,14.9,22.0,21.7,18.6,15.7,26.5,25.1,26.9
2019-01-12--09:32:12,20.9,20.7,14.2,8.8,4.0,20.2,19.9,17.5,14.9,22.1,21.7,18.6,15.7,26.5,25.1,26.9
