x,MBUSBmeters
2019-01-10--20:01:12,0.123
2019-01-10--20:04:48,0.123
2019-01-10--20:08:24,0.123
2019-01-10--20:12:00,0.123
2019-01-10--20:15:36,0.123
2019-01-10--20:19:12,0.123
2019-01-10--20:22:48,0.123
2019-01-10--20:26:24,0.123
2019-01-10--20:30:00,0.123
2019-01-10--20:33:36,0.123
2019-01-10--20:37:12,0.123
2019-01-10--20:40:48,0.123
2019-01-10--20:44:24,0.123
2019-01-10--20:48:00,0.123
2019-01-10--20:51:36,0.123
2019-01-10--20:55:12,0.123
2019-01-10--20:58:48,0.123
2019-01-10--21:02:24,0.123
2019-01-10--21:06:00,0.123
2019-01-10--21:09:36,0.123
2019-01-10--21:13:12,0.123
2019-01-10--21:16:48,0.123
2019-01-10--21:20:24,0.123
2019-01-10--21:24:00,0.123
2019-01-10--21:27:36,0.123
2019-01-10--21:31:12,0.123
2019-01-10--21:34:48,0.123
2019-01-10--21:38:24,0.123
2019-01-10--21:42:00,0.123
2019-01-10--21:45:36,0.123
2019-01-10--21:49:12,0.123
2019-01-10--21:52:48,0.123
2019-01-10--21:56:24,0.123
2019-01-10--22:00:00,0.123
2019-01-10--22:03:36,0.123
2019-01-10--22:07:12,0.123
2019-01-10--22:10:48,0.123
2019-01-10--22:14:24,0.123
2019-01-10--22:18:00,0.123
2019-01-10--22:21:36,0.123
2019-01-10--22:25:12,0.123
2019-01-10--22:28:48,0.123
2019-01-10--22:32:24,0.123
2019-01-10--22:36:00,0.123
2019-01-10--22:39:36,0.123
2019-01-10--22:43:12,0.123
2019-01-10--22:46:48,0.123
2019-01-10--22:50:24,0.123
2019-01-10--22:54:00,0.123
2019-01-10--22:57:36,0.123
2019-01-10--23:01:12,0.123
2019-01-10--23:04:48,0.123
2019-01-10--23:08:24,0.123
2019-01-10--23:12:00,0.123
2019-01-10--23:15:36,0.123
2019-01-10--23:19:12,0.123
2019-01-10--23:22:48,0.123
2019-01-10--23:26:24,0.123
2019-01-10--23:30:00,0.123
2019-01-10--23:33:36,0.123
2019-01-10--23:37:12,0.123
2019-01-10--23:40:48,0.123
2019-01-10--23:44:24,0.123
2019-01-10--23:48:00,0.123
2019-01-10--23:51:36,0.123
2019-01-10--23:55:12,0.123
2019-01-10--23:58:48,0.123
2019-01-11--00:02:24,0.123
2019-01-11--00:06:00,0.123
2019-01-11--00:09:36,0.123
2019-01-11--00:13:12,0.123
2019-01-11--00:16:48,0.123
2019-01-11--00:20:24,0.123
2019-01-11--00:24:00,0.123
2019-01-11--00:27:36,0.123
2019-01-11--00:31:12,0.123
2019-01-11--00:34:48,0.123
2019-01-11--00:38:24,0.123
2019-01-11--00:42:00,0.123
2019-01-11--00:45:36,0.123
2019-01-11--00:49:12,0.123
2019-01-11--00:52:48,0.123
2019-01-11--00:56:24,0.123
2019-01-11--01:00:00,0.123
2019-01-11--01:03:36,0.123
