x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-10--04:54:00,20.3,20.0,17.8,11.9,7.6,19.6,19.2,17.6,12.1,5.2,19.0,18.6,17.1,4.4,-6.8,22.8,27.1,23.2,22.5,24.1
2019-01-10--04:57:36,20.3,20.0,17.8,11.9,7.6,19.6,19.2,17.6,12.1,5.2,19.0,18.6,17.1,4.4,-6.8,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:01:12,20.3,20.0,17.8,11.9,7.5,19.6,19.2,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.0,23.1,22.5,24.1
2019-01-10--05:04:48,20.3,20.0,17.8,11.9,7.5,19.6,19.2,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.0,23.1,22.5,24.1
2019-01-10--05:08:24,20.3,20.0,17.8,11.9,7.5,19.6,19.2,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.0,23.1,22.5,24.1
2019-01-10--05:12:00,20.3,20.0,17.8,11.9,7.5,19.6,19.2,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.0,23.1,22.5,24.1
2019-01-10--05:15:36,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:19:12,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:22:48,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:26:24,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:30:00,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-6.9,22.8,27.1,23.2,22.5,24.1
2019-01-10--05:33:36,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-7.0,22.9,27.2,23.2,22.5,24.1
2019-01-10--05:37:12,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-7.0,22.9,27.2,23.2,22.5,24.1
2019-01-10--05:40:48,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-7.0,22.9,27.2,23.2,22.5,24.1
2019-01-10--05:44:24,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.1,19.0,18.5,17.1,4.3,-7.0,22.9,27.2,23.2,22.5,24.1
2019-01-10--05:48:00,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.0,19.0,18.5,17.1,4.2,-7.0,22.9,27.1,23.2,22.5,24.1
2019-01-10--05:51:36,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.0,19.0,18.5,17.1,4.2,-7.0,22.9,27.1,23.2,22.5,24.1
2019-01-10--05:55:12,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.0,19.0,18.5,17.1,4.2,-7.0,22.9,27.1,23.2,22.5,24.1
2019-01-10--05:58:48,20.3,19.9,17.8,11.9,7.5,19.6,19.1,17.6,12.0,5.0,19.0,18.5,17.1,4.2,-7.0,22.9,27.1,23.2,22.5,24.1
2019-01-10--06:02:24,20.3,19.9,17.8,11.9,7.4,19.6,19.1,17.5,12.0,5.0,19.0,18.5,17.1,4.2,-7.1,22.9,27.1,23.2,22.6,24.1
2019-01-10--06:06:00,20.3,19.9,17.8,11.9,7.4,19.6,19.1,17.5,12.0,5.0,19.0,18.5,17.1,4.2,-7.1,22.9,27.1,23.2,22.6,24.1
2019-01-10--06:09:36,20.3,19.9,17.8,11.9,7.4,19.6,19.1,17.5,12.0,5.0,19.0,18.5,17.1,4.2,-7.1,22.9,27.1,23.2,22.6,24.1
2019-01-10--06:13:12,20.3,19.9,17.8,11.9,7.4,19.6,19.1,17.5,12.0,5.0,19.0,18.5,17.1,4.2,-7.1,22.9,27.1,23.2,22.6,24.1
2019-01-10--06:16:48,20.3,19.9,17.8,11.8,7.4,19.6,19.1,17.5,11.9,5.0,19.0,18.5,17.0,4.1,-7.2,22.8,27.0,23.2,22.6,24.1
2019-01-10--06:20:24,20.3,19.9,17.8,11.8,7.4,19.6,19.1,17.5,11.9,5.0,19.0,18.5,17.0,4.1,-7.2,22.8,27.0,23.2,22.6,24.1
2019-01-10--06:24:00,20.3,19.9,17.8,11.8,7.4,19.6,19.1,17.5,11.9,5.0,19.0,18.5,17.0,4.1,-7.2,22.8,27.0,23.2,22.6,24.1
2019-01-10--06:27:36,20.3,19.9,17.8,11.8,7.4,19.6,19.1,17.5,11.9,5.0,19.0,18.5,17.0,4.1,-7.2,22.8,27.0,23.2,22.6,24.1
2019-01-10--06:31:12,20.2,19.9,17.7,11.8,7.4,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.1,-7.2,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:34:48,20.2,19.9,17.7,11.8,7.4,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.1,-7.2,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:38:24,20.2,19.9,17.7,11.8,7.4,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.1,-7.2,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:42:00,20.2,19.9,17.7,11.8,7.4,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.1,-7.2,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:45:36,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:49:12,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:52:48,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.7,26.9,23.1,22.5,24.0
2019-01-10--06:56:24,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.7,26.9,23.1,22.5,24.0
2019-01-10--07:00:00,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.7,26.9,23.1,22.5,24.0
2019-01-10--07:03:36,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:07:12,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:10:48,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:14:24,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.9,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:18:00,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.8,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
2019-01-10--07:21:36,20.2,19.9,17.7,11.8,7.3,19.6,19.1,17.5,11.9,4.8,18.9,18.4,17.0,4.0,-7.3,22.8,27.0,23.1,22.5,24.1
