('0 RG', 'Temperatura') {'x': 1546833877000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.4'}
('0 RG', 'Temperatura') {'x': 1546834093000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.3', 'APAR_32.3': '7.8', 'APAR_33.4': '0.1', 'APAR_34.5': '6546.4'}
('0 RG', 'Temperatura') {'x': 1546834309000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.2', 'APAR_32.3': '7.8', 'APAR_33.4': '0.0', 'APAR_34.5': '6546.4'}
('0 RG', 'Temperatura') {'x': 1546834525000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '0.0', 'APAR_34.5': '6546.3'}
('0 RG', 'Temperatura') {'x': 1546834741000, '648': 'NaN', 'APAR_30.1': '9.7', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '0.0', 'APAR_34.5': '6546.3'}
('0 RG', 'Temperatura') {'x': 1546834957000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.3'}
('0 RG', 'Temperatura') {'x': 1546835173000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.2'}
('0 RG', 'Temperatura') {'x': 1546835389000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.2'}
('0 RG', 'Temperatura') {'x': 1546835605000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.2', 'APAR_32.3': '7.7', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.2'}
('0 RG', 'Temperatura') {'x': 1546835821000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.1'}
('0 RG', 'Temperatura') {'x': 1546836037000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.1'}
('0 RG', 'Temperatura') {'x': 1546836253000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.5', 'APAR_34.5': '6546.1'}
('0 RG', 'Temperatura') {'x': 1546836469000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.4', 'APAR_34.5': '6546.0'}
('0 RG', 'Temperatura') {'x': 1546836685000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.4', 'APAR_34.5': '6546.0'}
('0 RG', 'Temperatura') {'x': 1546836901000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.4', 'APAR_34.5': '6546.0'}
('0 RG', 'Temperatura') {'x': 1546837117000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.4', 'APAR_34.5': '6545.9'}
('0 RG', 'Temperatura') {'x': 1546837333000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.6', 'APAR_33.4': '6553.4', 'APAR_34.5': '6545.8'}
('0 RG', 'Temperatura') {'x': 1546837549000, '648': 'NaN', 'APAR_30.1': '9.6', 'APAR_31.2': '9.1', 'APAR_32.3': '7.5', 'APAR_33.4': '6553.3', 'APAR_34.5': '6545.8'}
