x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--05:56:12,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.4,23.5,28.0,23.9,22.8,24.2
2019-01-15--05:59:48,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.4,23.5,28.0,23.9,22.8,24.2
2019-01-15--06:03:24,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.0,23.9,22.8,24.2
2019-01-15--06:07:00,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.0,23.9,22.8,24.2
2019-01-15--06:10:36,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.0,23.9,22.8,24.2
2019-01-15--06:14:12,21.1,20.8,19.2,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.0,23.9,22.8,24.2
2019-01-15--06:17:48,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.2
2019-01-15--06:21:24,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.2
2019-01-15--06:25:00,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.2
2019-01-15--06:28:36,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.2
2019-01-15--06:32:12,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.3
2019-01-15--06:35:48,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.3
2019-01-15--06:39:24,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.3
2019-01-15--06:43:00,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.3,23.5,28.1,23.9,22.8,24.3
2019-01-15--06:46:36,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.2,23.5,28.0,23.9,22.8,24.3
2019-01-15--06:50:12,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.2,23.5,28.0,23.9,22.8,24.3
2019-01-15--06:53:48,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.2,23.5,28.0,23.9,22.8,24.3
2019-01-15--06:57:24,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.4,7.8,-0.2,23.5,28.0,23.9,22.8,24.3
2019-01-15--07:01:00,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.8,24.3
2019-01-15--07:04:36,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.8,24.3
2019-01-15--07:08:12,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.8,24.3
2019-01-15--07:11:48,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.8,24.3
2019-01-15--07:15:24,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.8,24.3
2019-01-15--07:19:00,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.8,23.9,22.9,24.3
2019-01-15--07:22:36,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.8,23.9,22.9,24.3
2019-01-15--07:26:12,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.8,23.9,22.9,24.3
2019-01-15--07:29:48,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.8,23.9,22.9,24.3
2019-01-15--07:33:24,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.9,24.3
2019-01-15--07:37:00,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.9,24.3
2019-01-15--07:40:36,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.9,24.3
2019-01-15--07:44:12,21.1,20.8,19.1,14.1,10.5,20.0,19.5,18.1,13.3,7.8,19.8,19.5,18.3,7.8,-0.2,23.5,27.9,23.9,22.9,24.3
2019-01-15--07:47:48,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.8,19.5,18.3,7.8,-0.1,23.5,28.0,23.9,22.9,24.5
2019-01-15--07:51:24,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.8,19.5,18.3,7.8,-0.1,23.5,28.0,23.9,22.9,24.5
2019-01-15--07:55:00,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.8,19.5,18.3,7.8,-0.1,23.5,28.0,23.9,22.9,24.5
2019-01-15--07:58:36,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.8,19.5,18.3,7.8,-0.1,23.5,28.0,23.9,22.9,24.5
2019-01-15--08:02:12,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.1,23.7,28.0,24.0,22.9,24.7
2019-01-15--08:05:48,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.1,23.7,28.0,24.0,22.9,24.7
2019-01-15--08:09:24,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.1,23.7,28.0,24.0,22.9,24.7
2019-01-15--08:13:00,21.1,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,-0.1,23.7,28.0,24.0,22.9,24.7
2019-01-15--08:16:36,21.2,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,0.0,23.8,28.1,24.1,23.0,24.8
2019-01-15--08:20:12,21.2,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,0.0,23.8,28.1,24.1,23.0,24.8
2019-01-15--08:23:48,21.2,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,0.0,23.8,28.1,24.1,23.0,24.8
2019-01-15--08:27:24,21.2,20.8,19.1,14.1,10.4,20.0,19.5,18.1,13.4,7.8,19.9,19.5,18.3,7.8,0.0,23.8,28.1,24.1,23.0,24.8
2019-01-15--08:31:00,21.2,20.9,19.1,14.1,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.8,0.0,23.9,28.1,24.1,23.0,24.9
2019-01-15--08:34:36,21.2,20.9,19.1,14.1,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.8,0.0,23.9,28.1,24.1,23.0,24.9
2019-01-15--08:38:12,21.2,20.9,19.1,14.1,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.8,0.0,23.9,28.1,24.1,23.0,24.9
2019-01-15--08:41:48,21.2,20.9,19.1,14.1,10.4,20.0,19.5,18.1,13.3,7.8,19.9,19.5,18.3,7.8,0.0,23.9,28.1,24.1,23.0,24.9
