x,APAR_411.11,APAR_412.12,APAR_413.13,APAR_414.14,APAR_415.15,APAR_416.16,APAR_417.17,APAR_418.18,APAR_419.19,APAR_420.20,APAR_421.21,APAR_422.22,APAR_423.23,APAR_424.24,APAR_425.25,FIF_402.2,FIF_403.3,FIF_404.4,FIF_405.5,FIF_406.6
2019-01-15--17:16:36,30.3,32.0,32.4,46.5,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.4,26.7,50.4,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:20:12,30.3,32.0,32.4,46.5,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.4,26.7,50.4,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:23:48,30.3,32.0,32.4,46.5,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.4,26.7,50.4,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:27:24,30.3,32.0,32.4,46.5,52.8,25.9,27.7,30.5,40.6,56.2,23.8,24.4,26.7,50.4,80.4,24.000000,22.000000,25.000000,27.000000,25.000000
2019-01-15--17:31:00,30.3,32.0,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.4,80.4,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:34:36,30.3,32.0,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.4,80.4,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:38:12,30.3,32.0,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.4,80.4,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:41:48,30.3,32.0,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.4,80.4,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:45:24,30.3,32.0,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.2,23.8,24.5,26.7,50.4,80.4,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:49:00,30.3,31.9,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.3,23.8,24.5,26.7,50.4,80.3,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:52:36,30.3,31.9,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.3,23.8,24.5,26.7,50.4,80.3,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:56:12,30.3,31.9,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.3,23.8,24.5,26.7,50.4,80.3,24.000000,22.000000,24.000000,26.000000,25.000000
2019-01-15--17:59:48,30.3,31.9,32.4,46.5,52.8,25.9,27.6,30.5,40.6,56.3,23.8,24.5,26.7,50.4,80.3,24.000000,22.000000,24.000000,26.000000,25.000000
