x,APAR_511.11,APAR_512.12,APAR_513.13,APAR_514.14,APAR_515.15,APAR_516.16,APAR_517.17,APAR_518.18,APAR_519.19,APAR_520.20,APAR_521.21,APAR_522.22,APAR_523.23,FIF_504.4,FIF_505.5,FIF_506.6
2019-01-15--04:47:48,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.2,25.9,24.2,25.8
2019-01-15--04:51:24,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.2,25.9,24.2,25.8
2019-01-15--04:55:00,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.2,25.9,24.2,25.8
2019-01-15--04:58:36,20.9,20.8,14.7,8.9,3.6,20.8,20.7,18.8,16.5,22.1,21.9,19.8,17.2,25.9,24.2,25.8
2019-01-15--05:02:12,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.8,17.2,26.0,24.2,25.8
2019-01-15--05:05:48,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.8,17.2,26.0,24.2,25.8
2019-01-15--05:09:24,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.8,17.2,26.0,24.2,25.8
2019-01-15--05:13:00,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.8,17.2,26.0,24.2,25.8
2019-01-15--05:16:36,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--05:20:12,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
2019-01-15--05:23:48,20.9,20.8,14.6,8.9,3.6,20.8,20.6,18.8,16.5,22.1,21.9,19.7,17.2,26.0,24.2,25.8
