x,648,APAR_30.1,APAR_31.2,APAR_32.3,APAR_33.4,APAR_34.5
2019-01-15--14:45:24,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--14:49:00,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--14:52:36,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--14:56:12,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--14:59:48,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:03:24,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:07:00,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:10:36,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:14:12,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:17:48,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:21:24,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:25:00,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:28:36,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:32:12,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:35:48,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:39:24,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:43:00,NaN,0.0,0.0,0.0,0.0,0.3
2019-01-15--15:46:36,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--15:50:12,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--15:53:48,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--15:57:24,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--16:01:00,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--16:04:36,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--16:08:12,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--16:11:48,NaN,0.0,0.0,0.0,0.0,0.2
2019-01-15--16:15:24,NaN,0.0,0.0,0.0,0.0,0.1
2019-01-15--16:19:00,NaN,0.0,0.0,0.0,0.0,0.1
2019-01-15--16:22:36,NaN,0.0,0.0,0.0,0.0,0.1
2019-01-15--16:26:12,NaN,0.0,0.0,0.0,0.0,0.1
2019-01-15--16:29:48,NaN,0.0,0.0,0.0,0.0,0.1
2019-01-15--16:33:24,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--16:37:00,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--16:40:36,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--16:44:12,NaN,0.0,0.0,0.0,0.0,0.0
2019-01-15--16:47:48,NaN,12.6,11.8,10.0,3.7,-0.2
2019-01-15--16:51:24,NaN,12.6,11.8,10.0,3.7,-0.2
2019-01-15--16:55:00,NaN,12.6,11.8,10.0,3.7,-0.2
2019-01-15--16:58:36,NaN,12.6,11.8,10.0,3.7,-0.2
2019-01-15--17:02:12,NaN,12.6,11.8,10.1,3.7,-0.2
